;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;0.08;0.08431281;0.099185247;0.114516745;0.130464917;0.146860214;0.163554635;0.180251451;0.19770772;0.216482732;0.233840286;0.255929276;0.277504021;0.299215199;0.321157611;0.343863044;0.367270862;0.391411014;0.416586823;0.442667906;0.469841929;0.498066076;0.527483304;0.558351757;0.8515917;0.99999997;0.999999984;0.999999986;0.999999984;0.999999982;0.999999978;0.999999974;0.999999969;0.999999962;0.999999955;0.999999947;0.999999937;0.999999925;0.999999913;0.999999898;0.999999877;0.999999848;0.999999818;0.999999796;0.999999784;0.999999762;0.999999722;0.999999671;0.999999603;0.999999515;0.999999395;0.999999228;0.999998982;0.999998595;0.999997927;0.999996614;0.999993471;0.999979714;0.328359448
EU;0.055363912;0.067755954;0.080644147;0.094353546;0.108996075;0.124365927;0.13957883;0.153161483;0.166855953;0.182560467;0.198678916;0.217682078;0.236469223;0.255454559;0.274816729;0.294830543;0.315585866;0.337109123;0.359370645;0.382286327;0.40588192;0.430505593;0.456254522;0.483324028;0.737219382;0.999998938;0.999999635;0.999999686;0.999999679;0.999999647;0.999999601;0.999999543;0.999999473;0.999999392;0.999999309;0.999999211;0.99999903;0.999998738;0.999998482;0.999998501;0.999998888;0.999999466;0.99999985;0.999999668;0.999998918;0.999997908;0.999996777;0.999995504;0.999994012;0.999992169;0.999989779;0.99998651;0.999981771;0.99997439;0.99996173;0.999936724;0.999874352;0.999620719;0.326067403
JAP;0.021652293;0.025908998;0.030222511;0.034128842;0.038549288;0.043381191;0.048373678;0.053461441;0.058483046;0.063863858;0.069274003;0.075976961;0.082556536;0.089158119;0.095915136;0.102814464;0.109929323;0.117274326;0.124847809;0.132718706;0.140827035;0.149273374;0.158090273;0.167362292;0.255106868;0.388352507;0.589907804;0.894805268;0.999998281;0.999998845;0.999998879;0.999998788;0.999998634;0.999998433;0.999998187;0.999997895;0.999997568;0.999997228;0.999996758;0.999995877;0.999994619;0.999993793;0.999994554;0.999996867;0.999998936;0.999999631;0.999999356;0.999998589;0.999997542;0.999996266;0.999994715;0.99999275;0.999990096;0.999986216;0.99997994;0.999967967;0.999939319;0.999843243;0.331778803
RUS;0.018656439;0.022890084;0.027169788;0.031616591;0.036399775;0.041581707;0.047086781;0.052908728;0.058712562;0.064860953;0.071362241;0.078992574;0.086652998;0.094429045;0.102421214;0.110655461;0.119132745;0.127845207;0.136879771;0.146282956;0.156026516;0.166165277;0.176648836;0.187670162;0.287036261;0.438075903;0.666939551;0.999981894;0.999999215;0.999999375;0.999999366;0.999999304;0.99999921;0.99999909;0.999998944;0.999998777;0.99999859;0.999998348;0.99999798;0.999997529;0.999997193;0.999997166;0.999997421;0.999997576;0.9999971;0.999995944;0.999994379;0.999992501;0.999990251;0.999987471;0.999983894;0.999979065;0.999972161;0.999961546;0.999943555;0.999908402;0.999821552;0.999477054;0.33059072
EUR;0.01311224;0.017163634;0.021596865;0.026463992;0.031815963;0.037684015;0.044054649;0.050861262;0.057939986;0.065473866;0.073503454;0.082497551;0.091697262;0.101236066;0.111137299;0.121389572;0.132043779;0.143075582;0.154518163;0.166283493;0.178405919;0.191086855;0.204334169;0.218222914;0.335279125;0.513956362;0.78584867;0.99999862;0.999999338;0.999999399;0.999999364;0.99999929;0.999999188;0.999999064;0.999998913;0.999998726;0.999998484;0.999998198;0.999997952;0.999997808;0.999997644;0.999997302;0.999996952;0.999997051;0.999997523;0.999997743;0.999997513;0.999996885;0.999995922;0.999994631;0.999992948;0.999990706;0.999987565;0.999982825;0.999974921;0.999959717;0.999923004;0.99977149;0.331123872
CHI;0.071644866;0.094206216;0.12010017;0.150022697;0.184093832;0.222011771;0.259979816;0.29080169;0.322582125;0.361319037;0.407140616;0.451883206;0.499145015;0.548827492;0.601072356;0.655733587;0.712574113;0.77127224;0.831923553;0.894655888;0.959225154;0.999999998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.999999999;0.999999999;0.999999999;0.999999998;0.999999997;0.999999995;0.999999993;0.999999991;0.999999987;0.999999983;0.999999977;0.999999967;0.999999953;0.99999993;0.99999989;0.999999808;0.999999595;0.999998711;0.318417421
IND;0.034196798;0.045910795;0.059074499;0.074071861;0.09074048;0.10896859;0.128697425;0.149583872;0.171991273;0.196134921;0.221785264;0.24958285;0.278569444;0.309084628;0.341171968;0.37479371;0.410363486;0.447542996;0.486164056;0.525750104;0.566843555;0.610364376;0.656039863;0.70432403;0.999999555;0.999999888;0.999999907;0.999999905;0.999999896;0.999999883;0.999999866;0.999999846;0.999999822;0.999999795;0.999999762;0.999999725;0.999999689;0.999999644;0.999999559;0.999999424;0.999999311;0.999999337;0.999999552;0.999999837;0.999999989;0.999999947;0.99999977;0.999999511;0.999999188;0.999998794;0.999998298;0.99999764;0.999996709;0.999995279;0.999992847;0.999988066;0.999976178;0.999928525;0.318025128
MEST;0.048367357;0.061733305;0.076075335;0.091686825;0.108069598;0.125018152;0.142244096;0.159116598;0.177423275;0.196933893;0.215014643;0.236390327;0.257710373;0.279439967;0.301773184;0.325016035;0.349252369;0.37442925;0.400273089;0.426452047;0.453411923;0.481880579;0.512026809;0.543648208;0.831231859;0.999999857;0.99999992;0.999999926;0.999999921;0.999999912;0.999999899;0.999999883;0.999999864;0.999999842;0.999999815;0.999999784;0.999999751;0.999999717;0.999999664;0.999999565;0.999999442;0.999999388;0.999999501;0.999999742;0.999999928;0.999999971;0.999999915;0.999999805;0.99999966;0.999999485;0.99999927;0.999998994;0.999998618;0.999998059;0.999997136;0.999995365;0.999991066;0.999973776;0.320545107
AFR;0.030624972;0.042862612;0.057403612;0.074894072;0.094772407;0.116261376;0.139005887;0.161086113;0.1855258;0.21254136;0.240513077;0.26942563;0.299722282;0.331708017;0.365167609;0.400492032;0.437697805;0.476616715;0.517062025;0.558031693;0.599996005;0.643271399;0.689107869;0.737722331;0.999999989;0.999999999;0.999999999;0.999999999;0.999999999;0.999999999;0.999999999;0.999999997;0.999999996;0.999999994;0.999999992;0.99999999;0.999999987;0.999999984;0.999999981;0.999999976;0.999999971;0.999999965;0.999999957;0.999999955;0.999999951;0.99999994;0.999999919;0.999999892;0.99999986;0.99999982;0.999999768;0.999999697;0.999999593;0.999999431;0.999999154;0.999998605;0.999997237;0.999991713;0.325129495
LAM;0.03007178;0.03879658;0.048256967;0.058465608;0.069379077;0.081023416;0.093341919;0.106225385;0.119738749;0.134103934;0.148437082;0.1649894;0.18181161;0.199082808;0.217021999;0.235698773;0.255117167;0.275378974;0.29632289;0.317542316;0.339478782;0.362630488;0.386895866;0.412329986;0.632670057;0.968765266;0.99999978;0.999999836;0.999999838;0.999999824;0.999999802;0.999999773;0.999999738;0.999999697;0.999999651;0.999999598;0.999999518;0.999999409;0.999999307;0.999999245;0.999999228;0.999999259;0.999999367;0.999999524;0.999999562;0.999999384;0.999999027;0.999998539;0.999997935;0.999997195;0.999996261;0.999995027;0.999993289;0.999990647;0.999986198;0.999977547;0.999956259;0.999871897;0.323374431
OHI;0.035783596;0.043605364;0.051747573;0.060359596;0.069509807;0.078965903;0.088198183;0.095894614;0.103698344;0.112916359;0.122427651;0.133584447;0.144624259;0.155743347;0.167150627;0.178928232;0.191114238;0.203718941;0.216734367;0.23028405;0.244259445;0.258829793;0.274054202;0.290060757;0.442056514;0.672829942;0.999989293;0.999999177;0.999999347;0.999999342;0.999999282;0.999999189;0.999999071;0.999998929;0.99999876;0.999998567;0.999998366;0.999998119;0.999997675;0.999996975;0.999996343;0.999996363;0.999997373;0.99999886;0.999999656;0.999999277;0.999998171;0.999996615;0.999994681;0.999992293;0.999989238;0.999985115;0.999979183;0.999969961;0.999954081;0.999922452;0.999842348;0.999512779;0.330653394
OTH;0.030088466;0.042025531;0.056355182;0.073504677;0.09347376;0.116036621;0.140844846;0.166292627;0.194482683;0.226428171;0.26258698;0.299546963;0.339724772;0.383113861;0.429847125;0.480158002;0.533987394;0.591065217;0.651182506;0.713352333;0.778610615;0.848171428;0.921756308;0.999953036;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.999999999;0.999999999;0.999999998;0.999999998;0.999999997;0.999999996;0.999999994;0.999999993;0.999999991;0.999999988;0.999999984;0.999999979;0.999999971;0.99999996;0.999999944;0.999999916;0.999999867;0.999999765;0.999999498;0.999998362;0.314512892
