;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;0.178518;0.204412;0.200811;0.198623;0.197245;0.1975;0.199787;0.202249;0.205001;0.207013;0.206871;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303;0.220303
EU;0.1746;0.1995;0.1962;0.1944;0.1931;0.1934;0.195;0.1968;0.1987;0.2052;0.2107;0.2203;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336;0.220336
JAP;0.1513;0.1803;0.1756;0.1683;0.1794;0.1872;0.1889;0.1908;0.193;0.202;0.2094;0.2223;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269;0.222269
RUS;0.1912;0.189;0.1851;0.1856;0.1879;0.1899;0.1906;0.1917;0.1931;0.2031;0.2124;0.2222;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233;0.222233
EUR;0.195;0.2258;0.2182;0.2138;0.211;0.2105;0.2102;0.2102;0.2107;0.2168;0.2227;0.2289;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909;0.228909
CHI;0.3571;0.2268;0.2152;0.2075;0.2033;0.2038;0.2034;0.2033;0.2032;0.2092;0.2185;0.2132;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244;0.213244
IND;0.2948;0.2687;0.2537;0.2434;0.2322;0.2265;0.2253;0.2245;0.2244;0.2247;0.2257;0.2282;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191;0.228191
MEST;0.257;0.2502;0.2391;0.2307;0.221;0.2176;0.2185;0.2196;0.221;0.2159;0.2094;0.2188;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755;0.218755
AFR;0.2979;0.3036;0.2887;0.2759;0.2561;0.244;0.2426;0.2415;0.2409;0.232;0.2249;0.2238;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782;0.223782
LAM;0.2357;0.2379;0.2291;0.2207;0.2142;0.2127;0.2131;0.2138;0.2149;0.2168;0.2176;0.2262;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188;0.226188
OHI;0.1869;0.2031;0.1979;0.193;0.1899;0.1893;0.191;0.1929;0.1948;0.2017;0.2077;0.2169;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911;0.216911
OTH;0.2409;0.2788;0.2659;0.2543;0.2414;0.2345;0.233;0.2318;0.2312;0.2288;0.2295;0.2237;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713;0.223713